sexo,estado_civil,idade,possui_filhos,idade_media_filhos,cargo_atual/senioridade,home_office/hibrido,avaliação_ambiente_trabalho,modelo_ideal,modelo_pre_pandemia,modelo_pos_pandemia,satisfacao_vida_pessoal,satisfacao_cuidado_filhos,satisfacao_tarefas_domesticas,satisfacao_estudos,satisfacao_dev_carreira,sobrecarga_vida_pessoal,sobrecarga_cuidado_filhos,sobrecarga_tarefas_domesticas,sobrecarga_estudos,sobrecarga_dev_carreira,frustracao_vida_pessoal,frustracao_cuidado_filhos,frustracao_tarefas_domesticas,frustracao_estudos,frustracao_dev_carreira,inseguranca_vida_pessoal,inseguranca_cuidado_filhos,inseguranca_tarefas_domesticas,inseguranca_estudos,inseguranca_dev_carreira,nivel
Mulher,Solteiro(a),37,Não,Não se aplica,Data Desenvolvedor(a)  Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Homem,Solteiro(a),25,Não,Não se aplica,Estudante Estagiário(a),Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,4.0,5.0,4.0,3.0,Não se aplica,1.0,4.0,4.0,1.0,Não se aplica,0.0,0.0,1.0,3.0,Não se aplica,0.0,0.0,2.0,Entrada
Homem,Solteiro(a),21,Não,Não se aplica,QA   Júnior,Remoto,5.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,1.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,2.0,Entrada
Homem,Casado(a)/União Estável,36,Sim,8,Desenvolvedor(a) Master,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avançado
Homem,Casado(a)/União Estável,30,Não,Não se aplica,Arquiteto(a) de Sistemas Master,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,4.0,4.0,4.0,3.0,Não se aplica,3.0,2.0,4.0,1.0,Não se aplica,3.0,4.0,3.0,2.0,Não se aplica,1.0,5.0,3.0,Avançado
Homem,Solteiro(a),26,Não,Não se aplica,Sênior Data Scientist,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Homem,Divorciado(a),39,Sim,7,Scrum Master   Sênior,Remoto,4.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,5.0,5.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Avançado
Homem,Casado(a)/União Estável,39,Sim,7,Gestor(a) Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Avançado
Homem,Casado(a)/União Estável,27,Não,Não se aplica,Desenvolvedor(a) mobile Sênior,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,2.0,1.0,1.0,2.0,Não se aplica,2.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,1.0,1.0,Não se aplica,0.0,1.0,1.0,Avançado
Homem,Casado(a)/União Estável,40,Sim,11,Tecnico(a) em Instrumentação e Automação Sênior,Presencial,3.0,Híbrido,Não,Voltou ao modelo de trabalho presencial?,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,0.0,Avançado
Homem,Solteiro(a),31,Não,Não se aplica,Sênior Data Engineer,Remoto,5.0,Híbrido,Sim,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,1.0,2.0,4.0,1.0,Não se aplica,1.0,2.0,4.0,0.0,Não se aplica,1.0,2.0,4.0,0.0,Não se aplica,1.0,2.0,4.0,Avançado
Mulher,Casado(a)/União Estável,41,Sim,3 ,Professor(a)a ,Presencial,5.0,Presencial,Não,Voltou ao modelo de trabalho presencial?,4.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,4.0,Avançado
Mulher,Casado(a)/União Estável,40,Sim,11s,HRBP,Remoto,3.0,Remoto,Não,Voltou ao modelo de trabalho presencial?,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,Intermediário
Mulher,Casado(a)/União Estável,42,Sim,8,Analista suporte Técnico(a),Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Intermediário
Homem,Casado(a)/União Estável,39,Não,Não se aplica,Desenvolvedor(a) Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,2.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
